Fase / actividad,Responsable,Duración estimada,Fecha de inicio,Fecha de fin
Inicio / Fin del proyecto,MNK TECHNOLOGIES / DIN / OTI,75 días,01/09/2026,14/11/2026
Coordinaciones de planificación,MNK TECHNOLOGIES,7 días,01/09/2026,07/09/2026
Elaborar plan de proyecto,MNK TECHNOLOGIES,10 días,08/09/2026,18/09/2026
Reunión de lanzamiento (Kick-Off),MNK TECHNOLOGIES / DIN / OTI,1 día,18/09/2026,18/09/2026
Elaboración del acta de reunión y aprobación,MNK TECHNOLOGIES / DIN / OTI,1 días,21/09/2026,21/09/2026
Análisis y diseño,MNK TECHNOLOGIES / DIN / OTI,10 días,19/09/2026,29/09/2026
Elaborar documento de análisis y diseño,MNK TECHNOLOGIES,16 días,21/09/2026,29/09/2026
Presentación del primer entregable,MNK TECHNOLOGIES,1 día,30/09/2026,30/09/2026
Desarrollo de la solución,MNK TECHNOLOGIES,21 días,01/10/2026,21/10/2026
Pruebas internas,MNK TECHNOLOGIES,7 días,22/10/2026,28/10/2026
Pruebas funcionales,OTI,7 días,28/10/2026,03/11/2026
Pruebas funcionales y ajustes,MNK TECHNOLOGIES,7 días,20/10/2026,26/10/2026
Ajustes finales y firma de documento,MNK TECHNOLOGIES / DIN,7 días,27/10/2026,02/11/2026
Pase a producción,MNK TECHNOLOGIES / DIN / OTI,1 días,05/11/2026,05/11/2026
Capacitación a los KU,MNK TECHNOLOGIES / DIN,4 días,03/11/2026,06/11/2026
Acta de aceptación y pase a producción,MNK TECHNOLOGIES / OTI,3 días,07/11/2026,09/11/2026
Estabilización y cierre,MNK TECHNOLOGIES / DIN / OTI,5 días,10/11/2026,14/11/2026
Cierre del proyecto,MNK TECHNOLOGIES / DIN / OTI,5 días,10/11/2026,14/11/2026
Evaluación de resultados,MNK TECHNOLOGIES / DIN / OTI,2 días,10/11/2026,11/11/2026
"Informe final, firmas y cierre",MNK TECHNOLOGIES / DIN / OTI,3 días,12/11/2026,14/11/2026
Presentación del segundo entregable,MNK TECHNOLOGIES,1 día,14/11/2026,14/11/2026
