"ID","Proceso","Sub Proceso","Rol","Descripción de Historia","Resultado Esperado","Responsable","Prioridad","Complejidad","Comentarios"
"HU-01","Acceso al Sistema","Validación de documento de identidad","Visitante","Como visitante quiero ingresar mi DNI o Carné de Extranjería para acceder a la plataforma Identipat","Sistema valida el documento y verifica si el usuario está registrado","Desarrollador backend","Alta","2","Validar DNI y Carné de Extranjería con mensajes claros de resultado."
"HU-01.1","Acceso al Sistema","Acceso a usuario ya registrado","Visitante","Como visitante registrado quiero acceder al formulario de predicción después de validar mi documento de identidad","Usuario logueado en el sistema y redirigido al formulario de predicción","Desarrollador backend","Alta","1","Confirmar redirección segura al formulario de predicción."
"HU-01.2","Acceso al Sistema","Redirección a registro (usuario no registrado)","Visitante","Como visitante no registrado quiero ser redirigido al formulario de registro cuando mi documento no se encuentra en el sistema","Sistema muestra formulario de registro de datos personales","Desarrollador backend","Alta","1","Verificar que el registro se active solo cuando el documento no exista."
"HU-02","Gestión de Usuarios","Captura de datos personales","Visitante","Como visitante quiero completar un formulario con mis datos (DNI, nombres, apellidos, correo, perfil) para registrarme en la plataforma","Formulario captura y almacena datos personales correctamente","Desarrollador full stack","Alta","2","Definir campos obligatorios y reglas de validación de datos personales."
"HU-02.1","Gestión de Usuarios","Validación de consentimiento de datos","Visitante","Como visitante quiero aceptar explícitamente el consentimiento para el tratamiento de mis datos personales conforme a la Ley N° 29733","Sistema requiere checkbox de aceptación, impide avance sin consentimiento","Responsable de protección de datos","Alta","1","Requiere consentimiento explícito conforme a la Ley N° 29733."
"HU-02.2","Gestión de Usuarios","Validación de duplicidad de registro","Visitante","Como usuario quiero que el sistema verifique que mi DNI o Carné no esté duplicado para evitar registros múltiples","Sistema detecta documento existente y notifica al usuario","Desarrollador backend","Alta","1","Controlar duplicidad mediante DNI o Carné de Extranjería."
"HU-02.3","Gestión de Usuarios","Validación de campos obligatorios","Visitante","Como visitante quiero que el sistema indique qué campos son obligatorios y cuáles están incompletos para corregir mis datos","Sistema muestra validación clara de campos requeridos","Desarrollador frontend","Alta","1","Mostrar mensajes de validación junto a cada campo incompleto."
"HU-03","Análisis de Activos","Ingreso de descripción por texto","Visitante","Como usuario quiero ingresar la descripción de mi creación mediante texto libre para que el sistema la analice","Formulario acepta y almacena texto de descripción","Desarrollador frontend","Alta","2","Establecer longitud mínima y permitir edición antes del análisis."
"HU-03.1","Análisis de Activos","Ingreso de descripción por voz","Visitante","Como usuario quiero poder grabar una descripción de voz que el sistema pueda convertir a texto para análisis","Sistema captura audio, lo convierte a texto mediante reconocimiento de voz","Especialista en IA y PLN","Media","4","Validar permisos de micrófono y precisión de la transcripción."
"HU-03.8","Análisis de Activos","Generación de reporte de diagnóstico","Visitante","Como usuario quiero obtener un reporte automatizado que indique el potencial de protección de mi creación","Sistema genera reporte completo con recomendaciones y orientaciones","Especialista en IA y PLN","Alta","4","Definir contenido mínimo y criterios de calidad del reporte."
